geo_code,pos,ws,maps,country,prov,city,district
wskx,"[119.00390625, 25.224609375]","119.00390625,25.224609375","中国,福建省,莆田市,秀屿区",中国,福建省,莆田市,秀屿区
wm4v,"[105.29296875, 29.091796875]","105.29296875,29.091796875","中国,四川省,泸州市,泸县",中国,四川省,泸州市,泸县
ws90,"[114.08203125, 25.400390625]","114.08203125,25.400390625","中国,江西省,赣州市,大余县",中国,江西省,赣州市,大余县
ws45,"[115.48828125, 23.115234375]","115.48828125,23.115234375","中国,广东省,汕尾市,海丰县",中国,广东省,汕尾市,海丰县
ws2x,"[113.37890625, 25.224609375]","113.37890625,25.224609375","中国,广东省,韶关市,乐昌市",中国,广东省,韶关市,乐昌市
ws82,"[113.02734375, 25.400390625]","113.02734375,25.400390625","中国,湖南省,郴州市,宜章县",中国,湖南省,郴州市,宜章县
wkjm,"[108.80859375, 23.466796875]","108.80859375,23.466796875","中国,广西壮族自治区,南宁市,上林县",中国,广西壮族自治区,南宁市,上林县
wwdj,"[115.48828125, 37.529296875]","115.48828125,37.529296875","中国,河北省,衡水市,冀州区",中国,河北省,衡水市,冀州区
wmxb,"[112.32421875, 31.025390625]","112.32421875,31.025390625","中国,湖北省,荆门市,东宝区",中国,湖北省,荆门市,东宝区
wwew,"[117.59765625, 37.705078125]","117.59765625,37.705078125","中国,山东省,滨州市,阳信县",中国,山东省,滨州市,阳信县
wtgf,"[117.94921875, 32.783203125]","117.94921875,32.783203125","中国,安徽省,滁州市,明光市",中国,安徽省,滁州市,明光市
ws2c,"[113.73046875, 24.169921875]","113.73046875,24.169921875","中国,广东省,清远市,英德市",中国,广东省,清远市,英德市
wtm7,"[120.05859375, 30.146484375]","120.05859375,30.146484375","中国,浙江省,杭州市,西湖区",中国,浙江省,杭州市,西湖区
wm42,"[104.58984375, 28.212890625]","104.58984375,28.212890625","中国,四川省,宜宾市,高县",中国,四川省,宜宾市,高县
ws34,"[114.08203125, 24.345703125]","114.08203125,24.345703125","中国,广东省,韶关市,翁源县",中国,广东省,韶关市,翁源县
